service,condition,unit_yen,unit_miles,spend_for_1_lsp,miles_at_1_lsp,lsp_at_minimum,minimum_spend,first_only,campaign_end,warning,detail_url,detail_found,category,status,first_condition_type,first_condition_note,previous_cost,change_note,checked_at,image_url
山田養蜂場,100円ごとに 5 マイル,100,5,2000,100,,,True,2026-08-02,,https://partner.jal.co.jp/jmb/partner/feature/10678,True,美容・コスメ,same,定期初回のみ,「定期購入制度」でのご購入は、初回のみマイル積算の対象です。,2000,,2026-07-28T01:41:55+00:00,https://partner.jal.co.jp/emile/logo/010678_c.jpg
ノートンストア,200円ごとに 9 マイル,200,9,2400,108,,,False,,,https://partner.jal.co.jp/search_result/?ptn=1&ct=4&mu=4&mu=3&mu=2&mu=b&lcat=201&lcat=202&lcat=203&lcat=204&lcat=205&lcat=206&lcat=207&lcat=208&lcat=209&lcat=210&lcat=211&lcat=212&scat=20101&scat=20201&scat=1002&scat=20203&scat=20204&scat=20205&scat=20206&scat=20207&scat=20208&scat=20209&scat=20210&scat=20204&scat=20302&scat=20303&scat=20305&scat=20306&scat=20307&scat=20401&scat=20402&scat=20403&scat=20404&scat=20405&scat=20501&scat=20502&scat=20503&scat=20504&scat=20505&scat=20506&scat=20507&scat=20508&scat=20509&scat=20510&scat=20511&scat=20512&scat=20513&scat=20514&scat=20515&scat=20516&scat=20517&scat=20518&scat=20601&scat=1201&scat=20511&scat=20512&scat=20801&scat=20206&scat=20803&scat=20804&scat=20805&scat=20806&scat=20807&scat=20516&scat=20809&scat=20810&scat=1906&scat=20902&scat=1702&scat=20510&scat=20514&scat=20515&scat=20503&scat=2003&scat=21003&scat=21004&scat=2005&scat=21006&scat=20507&scat=21008&scat=20518&scat=21101&scat=21102&scat=20510&scat=21201&scat=21202,False,PC・ソフト,same,,,2400,,2026-07-28T01:41:55+00:00,https://partner.jal.co.jp/emile/logo/010672_c.jpg
BONAVENTURA 商品購入,100円ごとに 4 マイル,100,4,2500,100,,,False,,,https://partner.jal.co.jp/search_result/?ptn=1&ct=4&mu=4&mu=3&mu=2&mu=b&lcat=201&lcat=202&lcat=203&lcat=204&lcat=205&lcat=206&lcat=207&lcat=208&lcat=209&lcat=210&lcat=211&lcat=212&scat=20101&scat=20201&scat=1002&scat=20203&scat=20204&scat=20205&scat=20206&scat=20207&scat=20208&scat=20209&scat=20210&scat=20204&scat=20302&scat=20303&scat=20305&scat=20306&scat=20307&scat=20401&scat=20402&scat=20403&scat=20404&scat=20405&scat=20501&scat=20502&scat=20503&scat=20504&scat=20505&scat=20506&scat=20507&scat=20508&scat=20509&scat=20510&scat=20511&scat=20512&scat=20513&scat=20514&scat=20515&scat=20516&scat=20517&scat=20518&scat=20601&scat=1201&scat=20511&scat=20512&scat=20801&scat=20206&scat=20803&scat=20804&scat=20805&scat=20806&scat=20807&scat=20516&scat=20809&scat=20810&scat=1906&scat=20902&scat=1702&scat=20510&scat=20514&scat=20515&scat=20503&scat=2003&scat=21003&scat=21004&scat=2005&scat=21006&scat=20507&scat=21008&scat=20518&scat=21101&scat=21102&scat=20510&scat=21201&scat=21202&pn=2,False,ファッション,same,,,2500,,2026-07-28T01:41:55+00:00,https://partner.jal.co.jp/emile/logo/015382_c.jpg
Koh Gen Do 公式オンラインショップ,100円ごとに 4 マイル,100,4,2500,100,,,False,,,https://partner.jal.co.jp/search_result/?ptn=1&ct=4&mu=4&mu=3&mu=2&mu=b&lcat=201&lcat=202&lcat=203&lcat=204&lcat=205&lcat=206&lcat=207&lcat=208&lcat=209&lcat=210&lcat=211&lcat=212&scat=20101&scat=20201&scat=1002&scat=20203&scat=20204&scat=20205&scat=20206&scat=20207&scat=20208&scat=20209&scat=20210&scat=20204&scat=20302&scat=20303&scat=20305&scat=20306&scat=20307&scat=20401&scat=20402&scat=20403&scat=20404&scat=20405&scat=20501&scat=20502&scat=20503&scat=20504&scat=20505&scat=20506&scat=20507&scat=20508&scat=20509&scat=20510&scat=20511&scat=20512&scat=20513&scat=20514&scat=20515&scat=20516&scat=20517&scat=20518&scat=20601&scat=1201&scat=20511&scat=20512&scat=20801&scat=20206&scat=20803&scat=20804&scat=20805&scat=20806&scat=20807&scat=20516&scat=20809&scat=20810&scat=1906&scat=20902&scat=1702&scat=20510&scat=20514&scat=20515&scat=20503&scat=2003&scat=21003&scat=21004&scat=2005&scat=21006&scat=20507&scat=21008&scat=20518&scat=21101&scat=21102&scat=20510&scat=21201&scat=21202&pn=3,False,美容・コスメ,same,,,2500,,2026-07-28T01:41:55+00:00,https://partner.jal.co.jp/emile/logo/015412_c.jpg
イイハナ・ドットコム（e87.com）,100円ごとに 4 マイル,100,4,2500,100,,,False,,,https://partner.jal.co.jp/search_result/?ptn=1&ct=4&mu=4&mu=3&mu=2&mu=b&lcat=201&lcat=202&lcat=203&lcat=204&lcat=205&lcat=206&lcat=207&lcat=208&lcat=209&lcat=210&lcat=211&lcat=212&scat=20101&scat=20201&scat=1002&scat=20203&scat=20204&scat=20205&scat=20206&scat=20207&scat=20208&scat=20209&scat=20210&scat=20204&scat=20302&scat=20303&scat=20305&scat=20306&scat=20307&scat=20401&scat=20402&scat=20403&scat=20404&scat=20405&scat=20501&scat=20502&scat=20503&scat=20504&scat=20505&scat=20506&scat=20507&scat=20508&scat=20509&scat=20510&scat=20511&scat=20512&scat=20513&scat=20514&scat=20515&scat=20516&scat=20517&scat=20518&scat=20601&scat=1201&scat=20511&scat=20512&scat=20801&scat=20206&scat=20803&scat=20804&scat=20805&scat=20806&scat=20807&scat=20516&scat=20809&scat=20810&scat=1906&scat=20902&scat=1702&scat=20510&scat=20514&scat=20515&scat=20503&scat=2003&scat=21003&scat=21004&scat=2005&scat=21006&scat=20507&scat=21008&scat=20518&scat=21101&scat=21102&scat=20510&scat=21201&scat=21202&pn=2,False,花・ギフト,same,,,2500,,2026-07-28T01:41:55+00:00,https://partner.jal.co.jp/emile/logo/010111_c.jpg
クラランス オンラインショップ,100円ごとに 4 マイル,100,4,2500,100,,,False,,,https://partner.jal.co.jp/search_result/?ptn=1&ct=4&mu=4&mu=3&mu=2&mu=b&lcat=201&lcat=202&lcat=203&lcat=204&lcat=205&lcat=206&lcat=207&lcat=208&lcat=209&lcat=210&lcat=211&lcat=212&scat=20101&scat=20201&scat=1002&scat=20203&scat=20204&scat=20205&scat=20206&scat=20207&scat=20208&scat=20209&scat=20210&scat=20204&scat=20302&scat=20303&scat=20305&scat=20306&scat=20307&scat=20401&scat=20402&scat=20403&scat=20404&scat=20405&scat=20501&scat=20502&scat=20503&scat=20504&scat=20505&scat=20506&scat=20507&scat=20508&scat=20509&scat=20510&scat=20511&scat=20512&scat=20513&scat=20514&scat=20515&scat=20516&scat=20517&scat=20518&scat=20601&scat=1201&scat=20511&scat=20512&scat=20801&scat=20206&scat=20803&scat=20804&scat=20805&scat=20806&scat=20807&scat=20516&scat=20809&scat=20810&scat=1906&scat=20902&scat=1702&scat=20510&scat=20514&scat=20515&scat=20503&scat=2003&scat=21003&scat=21004&scat=2005&scat=21006&scat=20507&scat=21008&scat=20518&scat=21101&scat=21102&scat=20510&scat=21201&scat=21202&pn=2,False,美容・コスメ,same,,,2500,,2026-07-28T01:41:55+00:00,https://partner.jal.co.jp/emile/logo/015223_c.jpg
メガネのオンデーズ公式オンラインストア,100円ごとに 4 マイル,100,4,2500,100,,,False,,,https://partner.jal.co.jp/search_result/?ptn=1&ct=4&mu=4&mu=3&mu=2&mu=b&lcat=201&lcat=202&lcat=203&lcat=204&lcat=205&lcat=206&lcat=207&lcat=208&lcat=209&lcat=210&lcat=211&lcat=212&scat=20101&scat=20201&scat=1002&scat=20203&scat=20204&scat=20205&scat=20206&scat=20207&scat=20208&scat=20209&scat=20210&scat=20204&scat=20302&scat=20303&scat=20305&scat=20306&scat=20307&scat=20401&scat=20402&scat=20403&scat=20404&scat=20405&scat=20501&scat=20502&scat=20503&scat=20504&scat=20505&scat=20506&scat=20507&scat=20508&scat=20509&scat=20510&scat=20511&scat=20512&scat=20513&scat=20514&scat=20515&scat=20516&scat=20517&scat=20518&scat=20601&scat=1201&scat=20511&scat=20512&scat=20801&scat=20206&scat=20803&scat=20804&scat=20805&scat=20806&scat=20807&scat=20516&scat=20809&scat=20810&scat=1906&scat=20902&scat=1702&scat=20510&scat=20514&scat=20515&scat=20503&scat=2003&scat=21003&scat=21004&scat=2005&scat=21006&scat=20507&scat=21008&scat=20518&scat=21101&scat=21102&scat=20510&scat=21201&scat=21202&pn=2,False,ファッション,same,,,2500,,2026-07-28T01:41:55+00:00,https://partner.jal.co.jp/emile/logo/015398_c.jpg
トレンドマイクロ・オンラインショップ,200円ごとに 8 マイル,200,8,2600,104,,,False,,,https://partner.jal.co.jp/search_result/?ptn=1&ct=4&mu=4&mu=3&mu=2&mu=b&lcat=201&lcat=202&lcat=203&lcat=204&lcat=205&lcat=206&lcat=207&lcat=208&lcat=209&lcat=210&lcat=211&lcat=212&scat=20101&scat=20201&scat=1002&scat=20203&scat=20204&scat=20205&scat=20206&scat=20207&scat=20208&scat=20209&scat=20210&scat=20204&scat=20302&scat=20303&scat=20305&scat=20306&scat=20307&scat=20401&scat=20402&scat=20403&scat=20404&scat=20405&scat=20501&scat=20502&scat=20503&scat=20504&scat=20505&scat=20506&scat=20507&scat=20508&scat=20509&scat=20510&scat=20511&scat=20512&scat=20513&scat=20514&scat=20515&scat=20516&scat=20517&scat=20518&scat=20601&scat=1201&scat=20511&scat=20512&scat=20801&scat=20206&scat=20803&scat=20804&scat=20805&scat=20806&scat=20807&scat=20516&scat=20809&scat=20810&scat=1906&scat=20902&scat=1702&scat=20510&scat=20514&scat=20515&scat=20503&scat=2003&scat=21003&scat=21004&scat=2005&scat=21006&scat=20507&scat=21008&scat=20518&scat=21101&scat=21102&scat=20510&scat=21201&scat=21202,False,PC・ソフト,same,,,2600,,2026-07-28T01:41:55+00:00,https://partner.jal.co.jp/emile/logo/010661_c.jpg
NARS,200円ごとに 7 マイル,200,7,3000,105,,,False,,,https://partner.jal.co.jp/search_result/?ptn=1&ct=4&mu=4&mu=3&mu=2&mu=b&lcat=201&lcat=202&lcat=203&lcat=204&lcat=205&lcat=206&lcat=207&lcat=208&lcat=209&lcat=210&lcat=211&lcat=212&scat=20101&scat=20201&scat=1002&scat=20203&scat=20204&scat=20205&scat=20206&scat=20207&scat=20208&scat=20209&scat=20210&scat=20204&scat=20302&scat=20303&scat=20305&scat=20306&scat=20307&scat=20401&scat=20402&scat=20403&scat=20404&scat=20405&scat=20501&scat=20502&scat=20503&scat=20504&scat=20505&scat=20506&scat=20507&scat=20508&scat=20509&scat=20510&scat=20511&scat=20512&scat=20513&scat=20514&scat=20515&scat=20516&scat=20517&scat=20518&scat=20601&scat=1201&scat=20511&scat=20512&scat=20801&scat=20206&scat=20803&scat=20804&scat=20805&scat=20806&scat=20807&scat=20516&scat=20809&scat=20810&scat=1906&scat=20902&scat=1702&scat=20510&scat=20514&scat=20515&scat=20503&scat=2003&scat=21003&scat=21004&scat=2005&scat=21006&scat=20507&scat=21008&scat=20518&scat=21101&scat=21102&scat=20510&scat=21201&scat=21202&pn=3,False,美容・コスメ,same,,,3000,,2026-07-28T01:41:55+00:00,https://partner.jal.co.jp/emile/logo/015430_c.jpg
ショップジャパン,150円ごとに 5 マイル,150,5,3000,100,,,False,,,https://partner.jal.co.jp/search_result/?ptn=1&ct=4&mu=4&mu=3&mu=2&mu=b&lcat=201&lcat=202&lcat=203&lcat=204&lcat=205&lcat=206&lcat=207&lcat=208&lcat=209&lcat=210&lcat=211&lcat=212&scat=20101&scat=20201&scat=1002&scat=20203&scat=20204&scat=20205&scat=20206&scat=20207&scat=20208&scat=20209&scat=20210&scat=20204&scat=20302&scat=20303&scat=20305&scat=20306&scat=20307&scat=20401&scat=20402&scat=20403&scat=20404&scat=20405&scat=20501&scat=20502&scat=20503&scat=20504&scat=20505&scat=20506&scat=20507&scat=20508&scat=20509&scat=20510&scat=20511&scat=20512&scat=20513&scat=20514&scat=20515&scat=20516&scat=20517&scat=20518&scat=20601&scat=1201&scat=20511&scat=20512&scat=20801&scat=20206&scat=20803&scat=20804&scat=20805&scat=20806&scat=20807&scat=20516&scat=20809&scat=20810&scat=1906&scat=20902&scat=1702&scat=20510&scat=20514&scat=20515&scat=20503&scat=2003&scat=21003&scat=21004&scat=2005&scat=21006&scat=20507&scat=21008&scat=20518&scat=21101&scat=21102&scat=20510&scat=21201&scat=21202&pn=3,False,食品・健康,same,,,3000,,2026-07-28T01:41:55+00:00,https://partner.jal.co.jp/emile/logo/010185_c.jpg
